,Molecular_Weight,XLogP3,H_Bond_Donor,H_Bond_Acceptor,Exact_Mass,Topological_Polar_Surface,Heavy_Atom,Complexity,EIIP
A,0.8941308806987361,0.9411764705882353,0.6666666666666666,1.0,0.8941080627777468,0.8367983367983368,0.9090909090909091,0.5644444444444444,0.9402985074626865
C,0.7351286971481505,0.0,0.6666666666666666,0.5,0.735145287485923,0.7016632016632016,0.7272727272727273,0.7555555555555555,1.0
G,1.0,0.35294117647058815,1.0,0.75,1.0,1.0,1.0,1.0,0.6014925373134329
T,0.8344471646926487,0.6470588235294118,0.6666666666666666,0.5,0.8344483279007159,0.604989604989605,0.8181818181818182,0.8666666666666667,0.996268656716418
ZERO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
