,Molecular Weight,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Exact Mass,Topological Polar Surface Area,Heavy Atom Count,Complexity
A,0.8941308806987361,0.9411764705882353,0.6666666666666666,1.0,0.8941080627777468,0.8367983367983368,0.9090909090909091,0.5644444444444444
C,0.7351286971481505,0.0,0.6666666666666666,0.5,0.735145287485923,0.7016632016632016,0.7272727272727273,0.7555555555555555
G,1.0,0.35294117647058815,1.0,0.75,1.0,1.0,1.0,1.0
U,0.7416793489049164,0.35294117647058815,0.6666666666666666,0.5,0.7416598153103144,0.604989604989605,0.6363636363636364,0.7155555555555555
ZERO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
